album_release_date,album_release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,disc_number,duration_ms,explicit,is_local,track_name,track_number,album_name,key_name,mode_name,key_mode
2024-01-28,2011,0.8792,0.753,4,-14.4127,1,0.13994,0.446125,0.762794,5.868635,3182,true,true,Rapid Runway,4,Electric Pulse,B,melodic minor,Bb minor
2021-06-11,2015,0.7583,0.374,16,-54.2046,1,0.32944,0.168946,0.741761,0.924982,2096,false,true,Swift Circuit,6,Velvet Twilight,A,pentatonic major,Bmaj7
2024-03-19,2020,0.9436,0.493,16,-90.4643,1,0.6903,0.286437,0.164708,1.259425,8707,true,false,Fast Track,14,Midnight Serenade,C,phrygian minor,Bb minor
2023-12-23,2020,0.4703,0.549,14,-89.2968,0,0.81751,0.121787,0.496991,5.945936,8527,true,false,Quick Path,13,Crystal Waters,A,locrian minor,B minor
2023-07-07,2012,0.2661,0.818,4,-52.0703,1,0.34354,0.758322,0.818938,5.338877,6430,true,true,Rapid Runway,12,Midnight Serenade,C,phrygian minor,Bmaj7
2021-07-18,0,0.6989,0.065,3,-27.458,1,0.13657,0.990162,0.442513,4.091686,3747,false,true,Swift Circuit,7,Neon Nights,C,dorian minor,Bb minor
2023-04-23,2006,0.2169,0.654,20,-54.6046,0,0.59561,0.919984,0.049639,5.839727,1348,false,true,Quick Path,6,Golden Horizon,B,harmonic minor,Bmin
2022-09-30,2010,0.5752,0.777,14,-3.6857,0,0.18112,0.445091,0.967618,4.585711,7095,true,false,Quick Path,17,Moonlit Melodies,D,dorian minor,Bmin
2021-05-07,2018,0.0546,0.993,13,-34.3537,1,0.32847,0.847215,0.694431,7.414169,7602,false,false,Quick Path,12,Wildfire Echoes,D,ionian major,B major
2021-05-04,2014,0.9576,0.927,3,-93.9487,0,0.90681,0.862055,0.253798,3.852191,1130,false,true,Swift Circuit,12,Velvet Twilight,C,aeolian minor,Bm
2022-06-17,2004,0.7369,0.414,8,-75.8784,1,0.98964,0.896837,0.058347,1.510669,9543,false,true,Speedy Lane,9,Electric Pulse,C,phrygian minor,Bmaj
2022-06-07,2011,0.0694,0.513,5,-67.8818,0,0.29333,0.238784,0.204199,0.976707,7894,true,false,Swift Circuit,3,Electric Pulse,A,lydian major,Bb minor
2022-08-13,2010,0.7263,0.26,13,-67.4157,1,0.45848,0.215475,0.016339,8.230661,5069,false,false,Swift Circuit,1,Wildfire Echoes,A,lydian major,Bm
2023-05-05,2015,0.3202,0.193,5,-27.3603,1,0.22532,0.853529,0.979971,4.435892,5526,false,false,Swift Circuit,3,Velvet Twilight,D,ionian major,Bmin
2021-09-02,2014,0.4915,0.666,1,-39.2629,1,0.76456,0.016798,0.580808,7.760531,8723,true,true,Quick Path,19,Velvet Twilight,C,harmonic minor,Bb major
2022-07-22,2014,0.3791,0.072,11,-84.5714,0,0.88024,0.132841,0.181729,3.670725,2533,true,false,Swift Circuit,12,Crystal Waters,C,phrygian minor,Bb major
2021-10-17,2008,0.954,0.876,4,-14.8653,0,0.98118,0.527047,0.929176,0.041129,665,false,false,Quick Path,5,Midnight Serenade,A,aeolian minor,B# minor
2023-07-29,0,0.9569,0.117,17,-59.7665,1,0.57292,0.066424,0.045426,0.25816,6097,true,true,Speedy Lane,6,Sunset Dreams,A,harmonic minor,B# minor
2021-03-01,2004,0.7293,0.089,7,-18.6638,1,0.42111,0.873446,0.461983,8.580672,5215,false,false,Speedy Lane,4,Wildfire Echoes,C,pentatonic major,B minor
2021-06-07,2006,0.3926,0.058,14,-51.2642,0,0.96721,0.058718,0.731644,2.374172,2187,true,false,Quick Path,3,Neon Nights,B,locrian minor,Bb minor
2022-03-10,2010,0.0248,0.747,11,-12.2462,1,0.39021,0.569174,0.336422,5.231298,2829,true,true,Swift Circuit,19,Neon Nights,B,melodic minor,Bm
2022-03-14,2009,0.5381,0.682,2,-66.5781,0,0.26495,0.05687,0.014428,0.750081,6401,true,true,Fast Track,10,Neon Nights,A,mixolydian major,B# major
2020-12-21,2004,0.7679,0.378,15,-88.6454,0,0.52201,0.956742,0.8988,8.202841,5296,false,true,Rapid Runway,3,Crystal Waters,D,ionian major,B major
2021-10-18,2015,0.6464,0.927,9,-18.044,1,0.91572,0.882084,0.586958,0.397397,8164,true,false,Swift Circuit,5,Electric Pulse,C,lydian major,Bmaj
2023-11-03,0,0.3217,0.749,1,-42.8981,1,0.64031,0.2027,0.962847,3.536134,588,false,true,Fast Track,7,Neon Nights,C,ionian major,Bm
2023-03-20,2004,0.1438,0.529,4,-42.6318,0,0.48163,0.089128,0.60941,8.812741,1379,true,false,Speedy Lane,19,Midnight Serenade,A,melodic minor,B# minor
2024-03-03,2013,0.2187,0.147,7,-10.9894,0,0.47985,0.520033,0.146068,8.738861,4244,true,false,Rapid Runway,8,Wildfire Echoes,D,ionian major,B# minor
2023-08-03,2014,0.8394,0.784,14,-39.557,1,0.00954,0.031475,0.542477,9.790155,5893,false,false,Fast Track,18,Crystal Waters,B,dorian minor,B# major
2021-06-14,2012,0.4645,0.88,10,-96.663,1,0.37131,0.51213,0.853377,8.315552,1783,false,false,Swift Circuit,13,Midnight Serenade,D,phrygian minor,B# minor
2021-08-10,0,0.5047,0.3,5,-66.8849,1,0.82598,0.603634,0.608571,7.175571,8360,true,true,Fast Track,20,Starlight Symphony,A,melodic minor,B minor
2022-07-19,2015,0.4958,0.04,15,-32.6084,1,0.90349,0.913733,0.745329,8.659977,6040,true,false,Swift Circuit,7,Wildfire Echoes,C,aeolian minor,B major
2021-12-30,2015,0.7468,0.816,4,-99.7803,0,0.49071,0.76368,0.366228,3.062248,9203,true,false,Speedy Lane,15,Electric Pulse,C,harmonic minor,Bm
2021-07-22,2014,0.2466,0.52,13,-4.3664,1,0.17423,0.27354,0.814773,7.67982,1854,false,false,Quick Path,1,Starlight Symphony,A,lydian major,Bmaj
2021-02-15,0,0.1935,0.743,3,-44.61,1,0.25662,0.02981,0.313523,1.530886,7366,false,false,Quick Path,8,Moonlit Melodies,B,lydian major,B# minor
2024-04-07,2015,0.11,0.87,2,-57.3944,0,0.99085,0.614797,0.977856,3.13018,3219,false,false,Rapid Runway,7,Velvet Twilight,D,ionian major,Bb minor
2022-09-30,2010,0.2945,0.681,19,-9.1818,0,0.54785,0.212256,0.404821,0.94313,2963,false,false,Rapid Runway,20,Golden Horizon,D,phrygian minor,B major
2021-05-24,2020,0.15,0.258,18,-33.4182,1,0.49316,0.345035,0.94247,8.047561,3729,true,false,Rapid Runway,6,Sunset Dreams,B,mixolydian major,Bmaj7
2020-12-06,2011,0.0984,0.104,13,-59.5788,1,0.74172,0.428478,0.805182,8.197129,5632,false,true,Quick Path,15,Moonlit Melodies,B,mixolydian major,B# major
2023-06-18,2007,0.7622,0.076,18,-95.499,0,0.74403,0.66266,0.852829,1.569824,7976,false,true,Speedy Lane,5,Wildfire Echoes,D,phrygian minor,B# major
2021-10-08,2020,0.3059,0.133,5,-68.7057,1,0.25337,0.975017,0.858509,5.342535,9536,true,false,Swift Circuit,15,Moonlit Melodies,A,aeolian minor,Bb major
